time_start,time_end,model,launch_place,target,target_main,launched,destroyed,not_reach_goal,still_attacking,border_crossing,is_shahed,num_hit_location,num_fall_fragment_location,carrier,turbojet,turbojet_destroyed,affected region,destroyed_details,launched_details,launch_place_details
2025-04-13,2025-04-13,Orlan-10,,south,,1,1,,,{},,,,,,,,,,
2025-04-13,2025-04-13,Lancet,,south,,2,2,,,{},,,,,,,,,,
2025-04-11 20:00,2025-04-12 9:00,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast and Millerovo,Ukraine,,88,56,24,,{},,,,,,,"['Kharkiv oblast', 'Kyiv oblast', 'Dnipropetrovsk oblast', 'Donetsk oblast', 'Odesa oblast']","{'south': 18, 'east': 23, 'north': NaN, 'center': NaN}",,
2025-04-12,2025-04-12,Молнія,,south,,1,1,,,{},,,,,,,,,,
2025-04-12,2025-04-12,Lancet,,south,,1,1,,,{},,,,,,,,,,
2025-04-10 9:00,2025-04-11 9:00,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast and Oryol oblast and Millerovo,Ukraine,,39,24,13,,{},,,,,,,"['Dnipropetrovsk oblast', 'Donetsk oblast', 'Zhytomyr oblast']","{'south': 1, 'east': 6, 'north': NaN, 'center': NaN}",,
2025-04-10 16:04,2025-04-10 16:04,Iskander-M,Rostov oblast,Dnipro,,1,0,,,{},,,,,,,,,,
2025-04-09 19:00,2025-04-10 9:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Oryol oblast and Millerovo",Ukraine,,145,85,49,,{},,,,,,,"['Kharkiv oblast', 'Donetsk oblast', 'Kyiv oblast', 'Khmelnytskyi oblast', 'Poltava oblast', 'Mykolaiv oblast']","{'south': 31, 'east': 17, 'west': 5, 'north': NaN, 'center': NaN}",,
2025-04-10,2025-04-10,Orlan-10,,south,,1,1,,,{},,,,,,,,,,
2025-04-10,2025-04-10,Lancet,,south,,2,2,,,{},,,,,,,,,,
2025-04-08 20:00,2025-04-09 8:30,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Millerovo",Ukraine,,55,32,8,,{},,,,,,,"['Kharkiv oblast', 'Dnipropetrovsk oblast']","{'south': 1, 'east': 31}",,
2025-04-09,2025-04-09,Молнія,,south,,2,2,,,{},,,,,,,,,,
2025-04-09,2025-04-09,Reconnaissance UAV,,south,,1,1,,,{},,,,,,,,,,
2025-04-07 19:00,2025-04-08 8:00,Shahed-136/131,Primorsko-Akhtarsk,Ukraine,,46,9,32,,{},,,,,,,"['Kharkiv oblast', 'Dnipropetrovsk oblast', 'Donetsk oblast']","{'east': NaN, 'north': NaN}",,
2025-04-07 19:00,2025-04-08 8:00,Iskander-M,Kursk oblast,,,1,0,,,{},,,,,,,,,,
2025-04-08,2025-04-08,Молнія,,south,,2,2,,,{},,,,,,,,,,
2025-04-08,2025-04-08,Reconnaissance UAV,,south,,4,4,,,{},,,,,,,,,,
2025-04-07,2025-04-07,Reconnaissance UAV,,south,,3,3,,,{},,,,,,,,,,
2025-04-07,2025-04-07,Lancet,,south,,5,5,,,{},,,,,,,,,,
2025-04-05 5:30,2025-04-06 6:20,X-101/X-555,Saratov oblast,Ukraine,,9,6,,,{},,,,Tu-95MS,,,,,,
2025-04-06 5:00,2025-04-06 5:15,Iskander-M,Bryansk oblast,Kyiv oblast,,6,1,,,{},,,,,,,,,,
2025-04-05 20:00,2025-04-06 4:30,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Bryansk oblast and Millerovo",Ukraine,,109,40,53,,{},,,,,,,"['Sumy oblast', 'Kyiv oblast', 'Kharkiv oblast', 'Cherkasy oblast', 'Khmelnytskyi oblast', 'Mykolaiv oblast']",{'east': 16},,
2025-04-06 1:50,2025-04-06 3:00,Kalibr,Black Sea,Ukraine,,8,6,,,{},,,,Navy,,,,,,
